,mcc-name
141,5960-Direct Marketing- Insurance Service
142,5962-Direct Marketing – Travel Related Arrangements Services
143,5963-Door-to-Door Sales
144,5964-Direct Marketing – Catalog Merchant
145,5965-Direct Marketing – Catalog and Catalog and Retail Merchant
146,5966-Direct Marketing- Outbound Telemarketing Merchant
147,5967-Direct Marketing – Inbound Teleservices Merchant
148,5968-Direct Marketing – Continuity/Subscription Merchant
149,5969-Direct Marketing – Not Elsewhere Classified
150,5970-Artist’s Supply and Craft Shops
151,5971-Art Dealers and Galleries
152,5972-Stamp and Coin Stores – Philatelic and Numismatic Supplies
153,5973-Religious Goods Stores
154,"5975-Hearing Aids – Sales, Service, and Supply Stores"
155,5976-Orthopedic Goods Prosthetic Devices
156,5977-Cosmetic Stores
157,"5978-Typewriter Stores – Sales, Rental, Service"
158,"5983-Fuel – Fuel Oil, Wood, Coal, Liquefied Petroleum"
159,5992-Florists
160,5993-Cigar Stores and Stands
161,5994-News Dealers and Newsstands
162,"5995-Pet Shops, Pet Foods, and Supplies Stores"
163,"5996-Swimming Pools – Sales, Service, and Supplies"
164,5997-Electric Razor Stores – Sales and Service
165,5998-Tent and Awning Shops
166,5999-Miscellaneous and Specialty Retail Stores
167,6012-Financial Institutions – Merchandise and Services
168,"6051-Non-Financial Institutions – Foreign Currency, Money Orders (not wire transfer) and Travelers Cheques"
169,6211-Security Brokers/Dealers
170,"6300-Insurance Sales, Underwriting, and Premiums"
171,6513-Real Estate Agents and Managers
172,6540-POI Funding Transactions
173,"7011-Lodging – Hotels, Motels, Resorts, Central Reservation Services (not elsewhere classified)"
174,7012-Timeshares
175,7032-Sporting and Recreational Camps
176,7033-Trailer Parks and Camp Grounds
177,"7210-Laundry, Cleaning, and Garment Services"
178,7211-Laundry – Family and Commercial
179,7216-Dry Cleaners
180,7217-Carpet and Upholstery Cleaning
181,7221-Photographic Studios
182,7230-Barber and Beauty Shops
183,"7251-Shop Repair Shops and Shoe Shine Parlors, and Hat Cleaning"
184,7261-Funeral Service and Crematories
185,7273-Dating and Escort Services
186,7276-Tax Preparation Service
187,"7277-Counseling Service – Debt, Marriage, Personal"
188,"7278-Buying/Shopping Services, Clubs"
189,"7296-Clothing Rental – Costumes, Formal Wear, Uniforms"
190,7297-Massage Parlors
191,7298-Health and Beauty Shops
192,7299-Miscellaneous Personal Services ( not elsewhere classifies)
193,7311-Advertising Services
194,7321-Consumer Credit Reporting Agencies
195,"7333-Commercial Photography, Art and Graphics"
196,"7338-Quick Copy, Reproduction and Blueprinting Services"
197,7339-Stenographic and Secretarial Support Services
198,7342-Disinfecting and Exterminating Services
199,"7349-Cleaning and Maintenance, Janitorial Services"
200,"7361-Employment Agencies, Temporary Help Services"
201,"7372-Computer Programming, Integrated Systems Design and Data Processing services"
202,7375-Information Retrieval Services
